File,Original GPOS Size,mode=one,Change one,mode=auto,Change auto,mode=max,Change max
Lexend-Bold.ttf,19.73,19.73,0.00%,20.20,2.42%,22.33,13.19%
Lexend-ExtraBold.ttf,20.15,20.15,0.00%,20.63,2.37%,22.75,12.91%
Lexend-Light.ttf,19.67,19.67,0.00%,20.14,2.42%,22.27,13.23%
Lexend-Medium.ttf,20.06,20.06,0.00%,20.54,2.38%,22.66,12.97%
Lexend-Regular.ttf,19.77,19.77,0.00%,20.25,2.41%,22.38,13.16%
Lexend-SemiBold.ttf,19.86,19.86,0.00%,20.33,2.40%,22.46,13.10%
Lexend-Thin.ttf,19.46,19.46,0.00%,19.99,2.73%,22.15,13.82%
LexendDeca-Regular.ttf,19.99,19.99,0.00%,20.45,2.33%,22.56,12.87%
LexendExa-Regular.ttf,19.70,19.70,0.00%,20.12,2.13%,22.27,13.06%
LexendGiga-Regular.ttf,19.77,19.77,0.00%,20.23,2.35%,22.34,13.01%
LexendMega-Regular.ttf,19.74,19.74,0.00%,20.20,2.36%,22.31,13.03%
LexendPeta-Regular.ttf,19.69,19.69,0.00%,20.11,2.13%,22.26,13.06%
LexendTera-Regular.ttf,19.72,19.72,0.00%,20.18,2.36%,22.29,13.04%
LexendZetta-Regular.ttf,20.13,20.13,0.00%,20.58,2.24%,22.67,12.58%
LibreBarcodeEAN13Text-Regular.ttf,0.95,0.95,0.00%,0.95,0.00%,0.81,-14.20%
LibreBaskerville-Bold.ttf,19.68,17.35,-11.85%,23.78,20.83%,47.56,141.69%
LibreBaskerville-Italic.ttf,31.52,31.52,0.00%,32.85,4.21%,42.35,34.34%
LibreBaskerville-Regular.ttf,18.92,16.58,-12.39%,22.59,19.38%,49.10,159.48%
LibreCaslonDisplay-Regular.ttf,20.03,18.44,-7.95%,20.42,1.94%,32.38,61.68%
LibreCaslonText-Italic[wght].ttf,84.45,84.22,-0.26%,84.87,0.51%,94.31,11.69%
LibreCaslonText[wght].ttf,41.86,41.86,0.00%,41.14,-1.72%,45.04,7.61%
LibreFranklin-Italic[wght].ttf,14.36,14.36,0.00%,13.57,-5.49%,17.77,23.72%
LibreFranklin[wght].ttf,13.90,13.90,0.00%,13.11,-5.68%,17.30,24.51%
LifeSavers-Bold.ttf,21.13,20.22,-4.32%,19.21,-9.10%,28.86,36.57%
LifeSavers-ExtraBold.ttf,19.37,18.80,-2.90%,18.43,-4.83%,28.90,49.26%
LifeSavers-Regular.ttf,19.28,18.72,-2.92%,17.98,-6.77%,27.20,41.04%
LilitaOne-Regular.ttf,0.58,0.58,0.00%,0.58,0.00%,0.58,0.00%
LilyScriptOne-Regular.ttf,0.44,0.43,-2.64%,0.43,-2.64%,0.59,33.92%
LindenHill-Italic.ttf,19.72,18.92,-4.05%,26.11,32.40%,45.39,130.21%
LindenHill-Regular.ttf,45.58,44.57,-2.22%,53.42,17.19%,168.49,269.64%
"Literata-Italic[opsz,wght].ttf",174.94,166.74,-4.69%,128.29,-26.67%,142.81,-18.37%
"Literata[opsz,wght].ttf",186.99,179.92,-3.78%,139.90,-25.18%,156.80,-16.14%
Livvic-Black.ttf,29.13,29.13,0.00%,30.50,4.70%,39.47,35.49%
Livvic-BlackItalic.ttf,29.08,29.08,0.00%,30.49,4.85%,39.55,36.02%
Livvic-Bold.ttf,29.17,29.17,0.00%,30.54,4.69%,39.51,35.44%
Livvic-BoldItalic.ttf,29.17,29.17,0.00%,30.58,4.83%,39.64,35.91%
Livvic-ExtraLight.ttf,28.65,28.65,0.00%,30.28,5.69%,38.96,35.98%
Livvic-ExtraLightItalic.ttf,28.70,28.70,0.00%,30.38,5.86%,39.14,36.39%
Livvic-Italic.ttf,28.72,28.72,0.00%,30.40,5.86%,39.08,36.09%
Livvic-Light.ttf,28.67,28.67,0.00%,30.27,5.61%,38.93,35.79%
Livvic-LightItalic.ttf,28.74,28.74,0.00%,30.40,5.78%,39.13,36.18%
Livvic-Medium.ttf,28.97,28.97,0.00%,30.63,5.74%,39.28,35.61%
Livvic-MediumItalic.ttf,29.04,29.04,0.00%,30.75,5.91%,39.49,35.99%
Livvic-Regular.ttf,28.69,28.69,0.00%,30.33,5.70%,38.92,35.65%
Livvic-SemiBold.ttf,29.05,29.05,0.00%,30.79,5.98%,39.34,35.40%
Livvic-SemiBoldItalic.ttf,29.05,29.05,0.00%,30.85,6.18%,39.47,35.87%
Livvic-Thin.ttf,28.37,28.37,0.00%,29.71,4.71%,38.65,36.25%
Livvic-ThinItalic.ttf,28.38,28.38,0.00%,29.76,4.85%,38.80,36.71%
Lobster-Regular.ttf,8.14,6.94,-14.80%,6.94,-14.80%,9.11,11.87%
LobsterTwo-Bold.ttf,25.12,25.04,-0.30%,15.38,-38.78%,20.96,-16.53%
LobsterTwo-BoldItalic.ttf,26.61,26.39,-0.82%,14.93,-43.89%,20.80,-21.82%
LobsterTwo-Italic.ttf,27.29,26.96,-1.21%,15.87,-41.85%,21.36,-21.73%
LobsterTwo-Regular.ttf,25.96,25.84,-0.46%,15.33,-40.96%,21.10,-18.74%
Lohit-Bengali.ttf,6.80,5.40,-20.58%,5.40,-20.58%,5.40,-20.58%
Lohit-Devanagari.ttf,2.28,2.08,-8.57%,2.08,-8.57%,2.08,-8.57%
Lohit-Tamil.ttf,0.38,0.38,0.00%,0.38,0.00%,0.38,0.00%
LondrinaOutline-Regular.ttf,11.61,11.12,-4.26%,9.21,-20.66%,10.58,-8.85%
LondrinaShadow-Regular.ttf,11.64,11.14,-4.31%,9.23,-20.67%,10.61,-8.89%
LondrinaSketch-Regular.ttf,11.64,11.14,-4.31%,9.23,-20.67%,10.61,-8.89%
LondrinaSolid-Black.ttf,11.64,11.14,-4.31%,9.23,-20.67%,10.61,-8.89%
LondrinaSolid-Light.ttf,11.64,11.14,-4.31%,9.23,-20.67%,10.61,-8.89%
LondrinaSolid-Regular.ttf,11.64,11.14,-4.31%,9.23,-20.67%,10.61,-8.89%
LondrinaSolid-Thin.ttf,11.64,11.14,-4.31%,9.23,-20.67%,10.61,-8.89%
LongCang-Regular.ttf,0.69,0.68,-1.69%,0.68,-1.69%,0.87,25.92%
Lora-Italic[wght].ttf,56.62,56.47,-0.26%,56.41,-0.38%,63.11,11.47%
Lora[wght].ttf,53.43,53.43,-0.01%,54.88,2.70%,68.62,28.42%
Lusitana-Bold.ttf,0.34,0.34,0.00%,0.34,0.00%,0.34,0.00%
Lusitana-Regular.ttf,0.34,0.34,0.00%,0.34,0.00%,0.34,0.00%
Lustria-Regular.ttf,1.95,1.93,-0.60%,1.93,-0.60%,1.93,-0.60%
Macondo-Regular.ttf,1.21,1.20,-0.97%,1.20,-0.97%,1.20,-0.97%
MacondoSwashCaps-Regular.ttf,0.89,0.88,-1.32%,0.88,-1.32%,0.88,-1.32%
Mada-Black.ttf,8.87,8.87,0.00%,9.59,8.19%,16.62,87.47%
Mada-Bold.ttf,8.95,8.95,0.00%,9.88,10.46%,17.79,98.80%
Mada-ExtraLight.ttf,8.92,8.92,0.00%,9.90,10.99%,15.92,78.44%
Mada-Light.ttf,8.95,8.95,0.00%,9.90,10.58%,17.73,98.04%
Mada-Medium.ttf,8.99,8.99,0.00%,9.93,10.52%,17.43,93.96%
Mada-Regular.ttf,8.90,8.90,0.00%,9.78,9.85%,17.34,94.78%
Mada-SemiBold.ttf,8.95,8.95,0.00%,10.09,12.75%,17.75,98.38%
Maitree-Bold.ttf,3.71,3.71,0.00%,3.71,0.00%,3.71,0.00%
Maitree-ExtraLight.ttf,6.94,6.94,0.00%,6.34,-8.64%,7.46,7.46%
Maitree-Light.ttf,3.52,3.52,0.00%,3.52,0.00%,3.52,0.00%
Maitree-Medium.ttf,3.70,3.70,0.00%,3.70,0.00%,3.70,0.00%
Maitree-Regular.ttf,3.68,3.68,0.00%,3.68,0.00%,3.68,0.00%
Maitree-SemiBold.ttf,3.79,3.79,0.00%,3.79,0.00%,3.79,0.00%
MajorMonoDisplay-Regular.ttf,7.28,7.02,-3.67%,7.02,-3.67%,7.02,-3.67%
Mali-Bold.ttf,20.56,15.31,-25.53%,15.05,-26.76%,16.49,-19.78%
Mali-BoldItalic.ttf,20.85,15.49,-25.68%,15.24,-26.90%,16.67,-20.01%
Mali-ExtraLight.ttf,20.92,15.63,-25.31%,15.37,-26.52%,16.81,-19.66%
Mali-ExtraLightItalic.ttf,21.07,15.67,-25.63%,15.41,-26.84%,16.85,-20.02%
Mali-Italic.ttf,21.05,15.67,-25.57%,15.41,-26.78%,16.85,-19.96%
Mali-Light.ttf,21.02,15.70,-25.33%,15.44,-26.54%,16.88,-19.71%
Mali-LightItalic.ttf,21.15,15.78,-25.39%,15.53,-26.60%,16.96,-19.81%
Mali-Medium.ttf,20.91,15.63,-25.24%,15.38,-26.45%,16.81,-19.59%
Mali-MediumItalic.ttf,21.00,15.64,-25.54%,15.38,-26.75%,16.82,-19.92%
Mali-Regular.ttf,20.83,15.53,-25.45%,15.28,-26.66%,16.71,-19.77%
Mali-SemiBold.ttf,20.83,15.54,-25.39%,15.29,-26.61%,16.72,-19.72%
Mali-SemiBoldItalic.ttf,21.07,15.70,-25.47%,15.45,-26.67%,16.88,-19.86%
Mallanna-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
Mandali-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
Manjari-Bold.ttf,2.22,2.22,0.00%,2.22,0.00%,2.22,0.00%
Manjari-Regular.ttf,1.98,1.98,0.00%,1.98,0.00%,1.98,0.00%
Manjari-Thin.ttf,2.18,2.18,0.00%,2.18,0.00%,2.18,0.00%
Manrope[wght].ttf,20.48,19.69,-3.89%,18.36,-10.35%,22.55,10.09%
Mansalva-Regular.ttf,1.97,1.97,0.00%,1.97,0.00%,1.92,-2.57%
Manuale-Italic[wght].ttf,20.54,20.21,-1.61%,20.21,-1.61%,20.67,0.62%
Manuale[wght].ttf,18.18,18.11,-0.35%,18.11,-0.35%,18.42,1.34%
Marcellus-Regular.ttf,4.75,4.09,-13.91%,4.03,-15.02%,7.30,53.87%
MarcellusSC-Regular.ttf,7.48,6.14,-17.84%,6.18,-17.42%,11.60,55.05%
MarckScript-Regular.ttf,14.61,14.61,0.00%,14.61,0.00%,14.61,0.00%
Margarine-Regular.ttf,12.87,12.67,-1.50%,12.28,-4.57%,15.84,23.12%
MarkaziText[wght].ttf,55.66,55.66,0.00%,50.43,-9.39%,46.47,-16.51%
MarkaziText-VF.ttf,55.66,55.66,0.00%,49.18,-11.63%,46.47,-16.51%
Marmelad-Regular.ttf,21.90,20.16,-7.98%,21.08,-3.76%,25.89,18.21%
Martel-Bold.ttf,9.47,9.46,-0.12%,9.43,-0.45%,17.19,81.47%
Martel-DemiBold.ttf,8.96,8.94,-0.20%,8.98,0.20%,16.27,81.54%
Martel-ExtraBold.ttf,9.64,9.63,-0.12%,9.68,0.43%,17.82,84.96%
Martel-Heavy.ttf,4.40,4.40,0.00%,4.40,0.00%,4.40,0.00%
Martel-Light.ttf,9.67,9.66,-0.12%,9.62,-0.55%,17.35,79.40%
Martel-Regular.ttf,9.59,9.58,-0.12%,9.54,-0.55%,17.29,80.23%
Martel-UltraLight.ttf,8.12,8.11,-0.14%,7.89,-2.81%,13.69,68.50%
MartelSans-Black.ttf,5.92,5.92,0.00%,5.92,0.00%,5.92,0.00%
MartelSans-Bold.ttf,6.21,6.21,0.00%,6.21,0.00%,6.21,0.00%
MartelSans-ExtraBold.ttf,6.17,6.17,0.00%,6.17,0.00%,6.17,0.00%
MartelSans-ExtraLight.ttf,5.78,5.78,0.00%,5.78,0.00%,5.78,0.00%
MartelSans-Light.ttf,6.16,6.16,0.00%,6.16,0.00%,6.16,0.00%
MartelSans-Regular.ttf,6.20,6.20,0.00%,6.20,0.00%,6.20,0.00%
MartelSans-SemiBold.ttf,6.22,6.22,0.00%,6.22,0.00%,6.22,0.00%
MaShanZheng-Regular.ttf,3.59,3.59,0.00%,3.20,-10.82%,3.77,4.84%
Mate-Italic.ttf,0.94,0.94,0.00%,0.94,0.00%,1.03,9.60%
Mate-Regular.ttf,1.19,1.17,-1.97%,1.17,-1.97%,1.46,23.15%
MateSC-Regular.ttf,1.39,1.36,-1.69%,1.36,-1.69%,1.58,13.66%
MavenPro[wght].ttf,15.63,15.33,-1.89%,15.32,-1.96%,15.75,0.79%
MavenProVFBeta.ttf,41.14,40.81,-0.80%,40.80,-0.83%,41.23,0.21%
McLaren-Regular.ttf,16.01,15.79,-1.41%,15.34,-4.21%,20.11,25.58%
MedulaOne-Regular.ttf,3.92,3.91,-0.30%,3.91,-0.30%,3.91,-0.30%
MeeraInimai-Regular.ttf,0.04,0.04,0.00%,0.04,0.00%,0.04,0.00%
MergeOne-Regular.ttf,0.11,0.11,0.00%,0.11,0.00%,0.11,0.00%
Merienda-Regular.ttf,3.80,2.67,-29.72%,2.67,-29.72%,2.86,-24.85%
Merriweather-Black.ttf,11.12,9.89,-11.02%,9.89,-11.02%,9.89,-11.02%
Merriweather-BlackItalic.ttf,11.95,10.91,-8.73%,10.91,-8.73%,10.91,-8.73%
Merriweather-Bold.ttf,11.05,9.82,-11.14%,9.82,-11.14%,9.82,-11.14%
Merriweather-BoldItalic.ttf,11.96,10.93,-8.58%,10.93,-8.58%,10.93,-8.58%
Merriweather-Italic.ttf,11.97,10.94,-8.57%,10.94,-8.57%,10.94,-8.57%
Merriweather-Light.ttf,11.02,9.79,-11.12%,9.79,-11.12%,9.79,-11.12%
Merriweather-LightItalic.ttf,11.89,10.87,-8.62%,10.87,-8.62%,10.87,-8.62%
Merriweather-Regular.ttf,10.94,9.74,-10.98%,9.74,-10.98%,9.74,-10.98%
MerriweatherSans-Italic[wght].ttf,65.75,53.15,-19.16%,41.35,-37.12%,34.32,-47.81%
MerriweatherSans[wght].ttf,97.06,76.89,-20.77%,57.30,-40.96%,55.90,-42.40%
MervaleScript-Regular.ttf,12.14,9.82,-19.12%,11.26,-7.19%,21.78,79.45%
Metal.ttf,0.05,0.04,-20.83%,0.04,-20.83%,0.04,-20.83%
MetalMania-Regular.ttf,0.50,0.48,-3.54%,0.48,-3.54%,0.48,-3.54%
Metrophobic-Regular.ttf,19.21,17.48,-8.97%,18.70,-2.63%,28.29,47.26%
Michroma.ttf,0.48,0.47,-2.43%,0.47,-2.43%,0.57,17.41%
Milonga-Regular.ttf,17.42,17.13,-1.67%,16.07,-7.78%,26.64,52.94%
Miltonian-Regular.ttf,24.23,24.24,0.03%,19.40,-19.92%,27.73,14.46%
MiltonianTattoo-Regular.ttf,24.23,24.24,0.03%,19.40,-19.92%,27.73,14.46%
Mina-Bold.ttf,3.82,3.82,0.00%,3.82,0.00%,3.82,0.00%
Mina-Regular.ttf,4.07,4.07,0.00%,4.07,0.00%,4.07,0.00%
MiriamLibre-Bold.ttf,22.33,21.79,-2.42%,23.18,3.78%,36.71,64.36%
MiriamLibre-Regular.ttf,21.72,21.15,-2.60%,23.02,6.01%,33.32,53.44%
Mirza-Bold.ttf,34.25,34.08,-0.51%,33.41,-2.45%,45.18,31.89%
Mirza-Medium.ttf,34.77,34.59,-0.51%,32.87,-5.46%,47.38,36.28%
Mirza-Regular.ttf,34.25,34.08,-0.51%,32.32,-5.66%,49.18,43.57%
Mirza-SemiBold.ttf,34.75,34.58,-0.51%,32.86,-5.46%,48.65,39.98%
MissFajardose-Regular.ttf,3.66,3.65,-0.32%,3.65,-0.32%,3.65,-0.32%
Mitr-Bold.ttf,18.75,18.75,0.00%,18.75,0.00%,18.75,0.00%
Mitr-ExtraLight.ttf,15.87,15.87,0.00%,15.87,0.00%,15.87,0.00%
Mitr-Light.ttf,18.71,18.71,0.00%,18.71,0.00%,18.71,0.00%
Mitr-Medium.ttf,18.73,18.73,0.00%,18.73,0.00%,18.73,0.00%
Mitr-Regular.ttf,18.70,18.70,0.00%,18.70,0.00%,18.70,0.00%
Mitr-SemiBold.ttf,18.69,18.69,0.00%,18.69,0.00%,18.69,0.00%
Modak-Regular.ttf,72.84,72.44,-0.55%,75.19,3.22%,100.29,37.68%
Mogra-Regular.ttf,24.12,24.03,-0.36%,19.90,-17.51%,25.75,6.74%
Mohave-Italic[wght].ttf,6.45,6.17,-4.27%,5.98,-7.21%,6.00,-6.88%
Mohave[wght].ttf,6.46,6.18,-4.26%,5.99,-7.20%,6.02,-6.86%
Molengo-Regular.ttf,4.61,4.54,-1.31%,4.54,-1.31%,4.57,-0.72%
Molle-Regular.ttf,0.03,0.03,6.67%,0.03,6.67%,0.03,6.67%
Monda-Bold.ttf,18.69,18.69,0.00%,18.49,-1.10%,19.51,4.38%
Monda-Regular.ttf,18.87,18.87,0.00%,18.67,-1.09%,19.69,4.34%
MonomaniacOne-Regular.ttf,1.63,1.63,0.00%,1.63,0.00%,1.63,0.00%
Monoton-Regular.ttf,0.22,0.22,0.00%,0.22,0.00%,0.22,0.00%
MonsieurLaDoulaise-Regular.ttf,1.73,1.72,-0.68%,1.72,-0.68%,1.72,-0.68%
Montaga-Regular.ttf,4.25,4.25,0.00%,4.25,0.00%,4.25,0.00%
MonteCarlo-Regular.ttf,14.48,14.48,0.00%,14.48,0.00%,14.48,0.00%
Montserrat-Black.ttf,73.82,70.80,-4.09%,90.76,22.94%,125.51,70.03%
Montserrat-BlackItalic.ttf,74.73,71.81,-3.91%,92.32,23.55%,128.43,71.86%
Montserrat-Bold.ttf,77.21,74.17,-3.94%,96.38,24.83%,147.52,91.06%
Montserrat-BoldItalic.ttf,78.08,75.11,-3.81%,97.94,25.43%,150.73,93.05%
Montserrat-ExtraBold.ttf,77.09,74.05,-3.94%,96.92,25.73%,147.53,91.37%
Montserrat-ExtraBoldItalic.ttf,77.92,74.97,-3.79%,97.30,24.87%,150.62,93.30%
Montserrat-ExtraLight.ttf,76.76,73.76,-3.92%,96.13,25.24%,146.96,91.45%
Montserrat-ExtraLightItalic.ttf,77.70,74.76,-3.78%,97.54,25.53%,150.18,93.28%
Montserrat-Italic.ttf,77.89,74.93,-3.80%,98.28,26.18%,150.71,93.49%
Montserrat-Light.ttf,77.09,74.07,-3.92%,95.86,24.35%,147.63,91.50%
Montserrat-LightItalic.ttf,77.88,74.95,-3.77%,96.09,23.38%,150.79,93.61%
Montserrat-Medium.ttf,77.08,74.07,-3.91%,96.51,25.20%,147.61,91.49%
Montserrat-MediumItalic.ttf,77.91,74.96,-3.79%,96.76,24.19%,150.77,93.51%
Montserrat-Regular.ttf,77.16,74.13,-3.93%,98.08,27.11%,147.59,91.28%
Montserrat-SemiBold.ttf,77.17,74.15,-3.91%,97.87,26.83%,147.18,90.72%
Montserrat-SemiBoldItalic.ttf,78.06,75.12,-3.77%,99.01,26.84%,150.42,92.70%
Montserrat-Thin.ttf,74.05,71.25,-3.78%,91.79,23.96%,134.47,81.59%
Montserrat-ThinItalic.ttf,74.71,72.00,-3.63%,93.37,24.97%,137.30,83.77%
MontserratAlternates-Black.ttf,63.60,60.96,-4.14%,78.34,23.18%,105.64,66.12%
MontserratAlternates-BlackItalic.ttf,63.99,61.38,-4.07%,78.51,22.70%,107.07,67.33%
MontserratAlternates-Bold.ttf,66.62,63.92,-4.05%,83.20,24.88%,125.21,87.94%
MontserratAlternates-BoldItalic.ttf,66.92,64.27,-3.95%,82.82,23.75%,126.79,89.46%
MontserratAlternates-ExtraBold.ttf,66.62,63.96,-4.00%,82.59,23.97%,125.38,88.20%
MontserratAlternates-ExtraBoldItalic.ttf,66.97,64.23,-4.09%,82.66,23.42%,126.91,89.50%
MontserratAlternates-ExtraLight.ttf,66.38,63.77,-3.93%,82.53,24.32%,124.91,88.17%
MontserratAlternates-ExtraLightItalic.ttf,66.73,64.05,-4.01%,82.63,23.83%,126.46,89.52%
MontserratAlternates-Italic.ttf,66.88,64.24,-3.95%,82.88,23.92%,126.86,89.70%
MontserratAlternates-Light.ttf,66.52,63.88,-3.97%,82.35,23.80%,125.28,88.35%
MontserratAlternates-LightItalic.ttf,66.79,64.14,-3.98%,82.80,23.97%,126.81,89.86%
MontserratAlternates-Medium.ttf,66.59,63.94,-3.99%,82.42,23.76%,125.35,88.23%
MontserratAlternates-MediumItalic.ttf,66.89,64.22,-4.00%,82.92,23.95%,126.90,89.71%
MontserratAlternates-Regular.ttf,66.71,64.03,-4.01%,82.51,23.70%,125.38,87.97%
MontserratAlternates-SemiBold.ttf,66.63,63.97,-4.00%,84.87,27.36%,124.97,87.55%
MontserratAlternates-SemiBoldItalic.ttf,66.88,64.23,-3.95%,83.88,25.43%,126.47,89.12%
MontserratAlternates-Thin.ttf,64.29,61.68,-4.05%,78.95,22.81%,114.01,77.34%
MontserratAlternates-ThinItalic.ttf,64.61,62.00,-4.03%,79.64,23.27%,115.77,79.19%
MontserratSubrayada-Bold.ttf,1.98,1.98,0.00%,1.98,0.00%,1.98,0.00%
MontserratSubrayada-Regular.ttf,1.98,1.98,0.00%,1.98,0.00%,1.98,0.00%
Moul.ttf,0.05,0.04,-20.83%,0.04,-20.83%,0.04,-20.83%
Moulpali.ttf,0.05,0.04,-20.83%,0.04,-20.83%,0.04,-20.83%
MouseMemoirs-Regular.ttf,14.84,14.84,0.00%,14.89,0.34%,19.47,31.18%
Mplus1p-Black.ttf,14.03,14.03,0.00%,14.03,0.00%,14.03,0.00%
Mplus1p-Bold.ttf,14.03,14.03,0.00%,14.03,0.00%,14.03,0.00%
Mplus1p-ExtraBold.ttf,14.03,14.03,0.00%,14.03,0.00%,14.03,0.00%
Mplus1p-Light.ttf,14.04,14.04,0.00%,14.04,0.00%,14.04,0.00%
Mplus1p-Medium.ttf,14.00,14.00,0.00%,14.00,0.00%,14.00,0.00%
Mplus1p-Regular.ttf,14.03,14.03,0.00%,14.03,0.00%,14.03,0.00%
Mplus1p-Thin.ttf,14.00,14.00,0.00%,14.00,0.00%,14.00,0.00%
MrBedfort-Regular.ttf,2.38,2.38,0.00%,2.38,0.00%,2.38,0.00%
MrDafoe-Regular.ttf,2.39,2.38,-0.49%,2.38,-0.49%,2.38,-0.49%
MrDeHaviland-Regular.ttf,2.48,2.47,-0.47%,2.47,-0.47%,2.47,-0.47%
MrsSaintDelafield-Regular.ttf,4.80,4.80,0.00%,4.80,0.00%,4.80,0.00%
MrsSheppards-Regular.ttf,4.50,4.48,-0.52%,4.48,-0.52%,4.48,-0.52%
Mukta-Bold.ttf,43.05,42.24,-1.86%,42.61,-1.01%,50.44,17.17%
Mukta-ExtraBold.ttf,42.48,41.68,-1.89%,41.95,-1.25%,50.64,19.19%
Mukta-ExtraLight.ttf,43.22,42.42,-1.86%,43.74,1.20%,51.83,19.92%
Mukta-Light.ttf,43.75,42.95,-1.83%,43.90,0.34%,51.99,18.84%
Mukta-Medium.ttf,44.17,43.36,-1.82%,43.68,-1.11%,51.25,16.04%
Mukta-Regular.ttf,48.62,47.82,-1.65%,49.06,0.90%,58.27,19.84%
Mukta-SemiBold.ttf,42.18,41.38,-1.90%,41.49,-1.64%,49.30,16.87%
MuktaMahee-Bold.ttf,49.45,23.22,-53.05%,22.65,-54.20%,31.45,-36.40%
MuktaMahee-ExtraBold.ttf,48.90,22.77,-53.43%,22.31,-54.38%,30.95,-36.72%
MuktaMahee-ExtraLight.ttf,51.05,24.19,-52.61%,24.39,-52.22%,33.29,-34.79%
MuktaMahee-Light.ttf,51.28,24.46,-52.30%,24.23,-52.74%,33.35,-34.95%
MuktaMahee-Medium.ttf,49.52,23.28,-52.99%,22.71,-54.14%,31.51,-36.36%
MuktaMahee-Regular.ttf,51.90,25.47,-50.92%,25.87,-50.16%,35.04,-32.50%
MuktaMahee-SemiBold.ttf,49.71,23.39,-52.94%,22.93,-53.87%,31.47,-36.70%
MuktaMalar-Bold.ttf,41.30,29.14,-29.45%,28.90,-30.03%,41.02,-0.70%
MuktaMalar-ExtraBold.ttf,41.73,29.36,-29.65%,29.67,-28.89%,40.84,-2.13%
MuktaMalar-ExtraLight.ttf,43.78,30.63,-30.03%,31.25,-28.63%,43.12,-1.52%
MuktaMalar-Light.ttf,44.23,30.70,-30.59%,30.88,-30.17%,41.88,-5.30%
MuktaMalar-Medium.ttf,40.38,28.54,-29.33%,28.34,-29.81%,38.47,-4.72%
MuktaMalar-Regular.ttf,43.16,30.52,-29.29%,31.12,-27.90%,42.50,-1.54%
MuktaMalar-SemiBold.ttf,40.77,28.95,-29.00%,29.01,-28.84%,40.46,-0.74%
MuktaVaani-Bold.ttf,95.65,71.98,-24.75%,76.13,-20.41%,110.95,16.00%
MuktaVaani-ExtraBold.ttf,87.89,69.01,-21.48%,72.50,-17.51%,103.81,18.12%
MuktaVaani-ExtraLight.ttf,86.84,65.84,-24.19%,69.08,-20.46%,97.83,12.65%
MuktaVaani-Light.ttf,96.48,71.15,-26.25%,75.25,-22.01%,108.95,12.92%
MuktaVaani-Medium.ttf,96.17,72.67,-24.44%,76.95,-19.99%,111.38,15.81%
MuktaVaani-Regular.ttf,87.38,65.64,-24.88%,71.24,-18.47%,100.60,15.13%
MuktaVaani-SemiBold.ttf,95.27,71.71,-24.73%,76.53,-19.67%,110.31,15.79%
Mulish-Italic[wght].ttf,17.89,17.89,0.00%,17.88,-0.07%,24.62,37.62%
Mulish[wght].ttf,17.76,17.76,0.00%,17.75,-0.07%,24.49,37.88%
MuseoModerno[wght].ttf,14.62,14.62,0.00%,13.30,-8.97%,14.88,1.82%
MyanmarSansPro-Regular.ttf,0.36,0.30,-15.38%,0.30,-15.38%,0.30,-15.38%
NanumBrushScript-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
NanumGothic-Bold.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
NanumGothic-ExtraBold.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
NanumGothic-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
NanumMyeongjo-Bold.ttf,0.35,0.35,0.00%,0.35,0.00%,0.35,0.00%
NanumMyeongjo-ExtraBold.ttf,0.35,0.35,0.00%,0.35,0.00%,0.35,0.00%
NanumMyeongjo-Regular.ttf,0.35,0.35,0.00%,0.35,0.00%,0.35,0.00%
NanumPenScript-Regular.ttf,0.02,0.02,0.00%,0.02,0.00%,0.02,0.00%
NATS-Regular.ttf,4.70,4.70,0.00%,4.70,0.00%,4.70,0.00%
NerkoOne-Regular.ttf,0.78,0.78,0.00%,0.78,0.00%,0.84,7.77%
Neucha.ttf,11.33,7.76,-31.52%,7.76,-31.52%,7.85,-30.73%
NewRocker-Regular.ttf,22.61,21.17,-6.37%,21.39,-5.38%,42.90,89.74%
NewsCycle-Bold.ttf,17.27,17.16,-0.63%,25.77,49.16%,57.34,231.97%
NewsCycle-Regular.ttf,65.29,65.01,-0.43%,49.21,-24.63%,93.31,42.92%
"Newsreader-Italic[opsz,wght].ttf",151.61,149.31,-1.51%,149.98,-1.07%,160.36,5.77%
"Newsreader[opsz,wght].ttf",134.37,132.29,-1.55%,132.95,-1.06%,142.61,6.13%
Niconne-Regular.ttf,0.44,0.44,0.00%,0.44,0.00%,0.48,9.29%
Niramit-Bold.ttf,23.09,17.54,-24.03%,17.33,-24.95%,20.18,-12.59%
Niramit-BoldItalic.ttf,23.25,17.58,-24.37%,17.50,-24.73%,20.26,-12.88%
Niramit-ExtraLight.ttf,22.91,17.41,-23.99%,17.33,-24.36%,20.09,-12.33%
Niramit-ExtraLightItalic.ttf,23.12,17.52,-24.21%,17.44,-24.57%,20.19,-12.65%
Niramit-Italic.ttf,23.16,17.53,-24.34%,17.44,-24.70%,20.20,-12.80%
Niramit-Light.ttf,23.00,17.46,-24.12%,17.37,-24.49%,20.13,-12.51%
Niramit-LightItalic.ttf,23.07,17.43,-24.46%,17.34,-24.82%,20.10,-12.88%
